ID,Q3,Q4,Q5,Q6,Q8,Q9,Q11,Q12,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,SC0
T,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,Not sure,TRUE,Companies -> Communication Services -> Internet Content -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,13
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,Not sure,TRUE,Modern Orchestra,14
T,Animals -> Arthropods -> Crustaceans -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Reptiles and Mammals,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Classical Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Utilities,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,TRUE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Util,Not sure,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,13
T,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Util,Not sure,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,13
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Mammals -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,Not sure,Mammals,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
T,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Cyclic,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
T,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Util,Not sure,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,13
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,TRUE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,Not sure,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Healthcare -> Healthcare Plans -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,Not sure,Modern Orchestra,14
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Arthropods -> Arachnids -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Technology -> Software Infrastructure -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Modern Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,13
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
T,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16