ID,eBay is nested in the Software category.,Which country has the lowest proportion of Gold medals?,What distance have customers traveled in the taxi the most?,"In 2020, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)?",What is the approximate global smartphone market share of Samsung?,Which city’s metro system has the largest number of stations?,What is the cost of peanuts in Seoul?,What was the price of a barrel of oil in February 2020?,What is the average internet speed in Japan?,What was the average price of a pound of coffee in October 2019?,What was the ratio of girls named “Isla” to girls named “Amelia” in 2012 in the UK?,There is a negative relationship between the height and the weight of the 85 males.,"This chart shows an overview of spending habits in 2013. Color is mapped to each category. Node size represents the total spending.

 



Which HOUSING category required more spending than the ENTERTAINMENT category?","The treemap displays the democratic spending proposal. Size is mapped to the spending and each color represents a category.





Which proposal had the least spending of all?","The following treemap displays the distribution of money spent on entertainment. 
Color is mapped to entertainment types and size is mapped to money spent on each purchase.



Which entertainment industry has the least amount of money spent on it?",Score
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,42.30 Mbps,$0.71 ,1 to 3,FALSE,Household Furnishings,Climate Proposals,Video,11
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Household Furnishings,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
NLT,TRUE,Great Britain,30 - 40 km,FALSE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Australia,30 - 40 km,TRUE,17.60%,Seoul,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,42.30 Mbps,$0.71 ,1 to 4,FALSE,I am not sure,Health Proposals,Video,10
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,Great Britain,30 - 40 km,FALSE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,Great Britain,30 - 40 km,FALSE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Health Proposals,Video,11
NLT,TRUE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$4.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
NLT,FALSE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$7.50 ,$50.54 ,42.30 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,35.20%,Shanghai,$5.20 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Other Proposals,Video,11
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,I am not sure,Climate Proposals,Video,12
NLT,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Other Proposals,Video,11
NLT,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 4,TRUE,I am not sure,Family Proposals,I am not sure,7
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
NLT,FALSE,Great Britain,30 - 40 km,FALSE,17.60%,Seoul,$5.20 ,$50.54 ,42.30 Mbps,$0.80 ,1 to 3,FALSE,I am not sure,Health Proposals,Video,7
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 1,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,35.20%,Shanghai,$5.20 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,Great Britain,30 - 40 km,TRUE,35.20%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Climate Proposals,Music,11
NLT,TRUE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,TRUE,Shelter,Climate Proposals,I am not sure,9
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,USA,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,USA,30 - 40 km,TRUE,17.60%,Seoul,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 1,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
NLT,TRUE,Great Britain,30 - 40 km,TRUE,35.20%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,12
NLT,FALSE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
NLT,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
NLT,TRUE,Great Britain,30 - 40 km,TRUE,25.30%,Beijing,$7.50 ,$42.34 ,42.30 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Other Proposals,Books,7
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,TRUE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Climate Proposals,Video,12
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$4.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 1,FALSE,Shelter,Climate Proposals,Video,14
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$4.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Other Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$4.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,I am not sure,Electronics,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Electronics,13
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Other Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,25.30%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,14
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,12
T,FALSE,Japan,30 - 40 km,TRUE,17.60%,Shanghai,$4.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,35.20%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,12
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,I am not sure,Climate Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,I am not sure,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$7.50 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,13
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,TRUE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$5.20 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,I am not sure,Climate Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,FALSE,Shelter,Climate Proposals,Video,15
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 2,TRUE,Shelter,Climate Proposals,Video,14
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 3,FALSE,Shelter,Climate Proposals,Video,13
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$5.20 ,$50.54 ,40.51 Mbps,$0.80 ,1 to 1,FALSE,Shelter,Climate Proposals,Video,12
T,FALSE,Great Britain,30 - 40 km,TRUE,17.60%,Shanghai,$6.10 ,$50.54 ,40.51 Mbps,$0.71 ,1 to 1,FALSE,Shelter,Climate Proposals,Video,14